Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2011,SH_SAN_SAFEHH_BATH,PT,_T,91.1
2011,SH_SAN_SAFEHH_BATH,PT,U,98.8
2011,SH_SAN_SAFEHH_BATH,PT,O,86.2
2015,SH_SAN_SAFEHH_BATH,PT,_T,94.1
2015,SH_SAN_SAFEHH_BATH,PT,U,98.7
2015,SH_SAN_SAFEHH_BATH,PT,O,91.1
2011,SH_SAN_SAFEHH_WC,PT,_T,22.2
2011,SH_SAN_SAFEHH_WC,PT,U,27.6
2011,SH_SAN_SAFEHH_WC,PT,O,18.7
2015,SH_SAN_SAFEHH_WC,PT,_T,88.1
2015,SH_SAN_SAFEHH_WC,PT,U,89.9
2015,SH_SAN_SAFEHH_WC,PT,O,87.0
