Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2009,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.1
2010,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2011,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2012,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2013,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2014,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2015,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2016,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2017,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2018,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2019,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2020,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.1
2021,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y10T14,F,0.0
2009,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,16.0
2010,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,13.9
2011,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,12.8
2012,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,13.8
2013,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,11.0
2014,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,10.6
2015,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,9.5
2016,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,10.8
2017,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,9.4
2018,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,7.7
2019,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,8.1
2020,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,8.0
2021,SP_DYN_ADKL,PER_1000_POPFEM_AG,Y15T19,F,7.9
