Year,Value,UNIT_MEASURE,SERIES
2018,16.21,PT,FI_FSI_FSKRTC
2019,16.87,PT,FI_FSI_FSKRTC
2020,17.52,PT,FI_FSI_FSKRTC
2021,18.31,PT,FI_FSI_FSKRTC
2022,19.38,PT,FI_FSI_FSKRTC
2023,19.94,PT,FI_FSI_FSKRTC
2018,17.66,PT,FI_FSI_FSRCER
2019,18.31,PT,FI_FSI_FSRCER
2020,19.33,PT,FI_FSI_FSRCER
2021,19.15,PT,FI_FSI_FSRCER
2022,20.24,PT,FI_FSI_FSRCER
2023,20.96,PT,FI_FSI_FSRCER
2018,12.44,PT,FI_FSI_FSKA
2019,12.58,PT,FI_FSI_FSKA
2020,12.39,PT,FI_FSI_FSKA
2021,11.69,PT,FI_FSI_FSKA
2022,12.46,PT,FI_FSI_FSKA
2023,13.02,PT,FI_FSI_FSKA
2018,7.17,PT,FI_FSI_FSNPA
2019,5.04,PT,FI_FSI_FSNPA
2020,3.62,PT,FI_FSI_FSNPA
2021,2.54,PT,FI_FSI_FSNPA
2022,2.37,PT,FI_FSI_FSNPA
2023,2.4,PT,FI_FSI_FSNPA
2018,19.1,PT,FI_FSI_FSNPALC
2019,10.66,PT,FI_FSI_FSNPALC
2020,6.18,PT,FI_FSI_FSNPALC
2021,4.56,PT,FI_FSI_FSNPALC
2022,5.61,PT,FI_FSI_FSNPALC
2023,5.1,PT,FI_FSI_FSNPALC
2018,18.34,PT,FI_FSI_FSKNL
2019,9.42,PT,FI_FSI_FSKNL
2020,5.99,PT,FI_FSI_FSKNL
2021,4.34,PT,FI_FSI_FSKNL
2022,5.42,PT,FI_FSI_FSKNL
2023,4.75,PT,FI_FSI_FSKNL
2018,9.54,PT,FI_FSI_FSANL
2019,6.95,PT,FI_FSI_FSANL
2020,5.23,PT,FI_FSI_FSANL
2021,3.98,PT,FI_FSI_FSANL
2022,3.69,PT,FI_FSI_FSANL
2023,3.64,PT,FI_FSI_FSANL
2018,1.13,PT,FI_FSI_FSERA
2019,1.35,PT,FI_FSI_FSERA
2020,0.69,PT,FI_FSI_FSERA
2021,1.38,PT,FI_FSI_FSERA
2022,1.62,PT,FI_FSI_FSERA
2023,2.15,PT,FI_FSI_FSERA
2018,8.79,PT,FI_FSI_FSERSC
2019,10.75,PT,FI_FSI_FSERSC
2020,5.5,PT,FI_FSI_FSERSC
2021,11.25,PT,FI_FSI_FSERSC
2022,13.12,PT,FI_FSI_FSERSC
2023,16.42,PT,FI_FSI_FSERSC
2018,60.65,PT,FI_FSI_FSINTIRI
2019,58.07,PT,FI_FSI_FSINTIRI
2020,58.87,PT,FI_FSI_FSINTIRI
2021,56.84,PT,FI_FSI_FSINTIRI
2022,55.98,PT,FI_FSI_FSINTIRI
2023,69.35,PT,FI_FSI_FSINTIRI
2018,78.24,PT,FI_FSI_FSINOIRE
2019,73.22,PT,FI_FSI_FSINOIRE
2020,85.81,PT,FI_FSI_FSINOIRE
2021,71.68,PT,FI_FSI_FSINOIRE
2022,69.35,PT,FI_FSI_FSINOIRE
2023,64.77,PT,FI_FSI_FSINOIRE
2018,26.7,PT,FI_FSI_FSLSTA
2019,22.97,PT,FI_FSI_FSLSTA
2020,22.87,PT,FI_FSI_FSLSTA
2021,28.72,PT,FI_FSI_FSLSTA
2022,27.37,PT,FI_FSI_FSLSTA
2023,25.74,PT,FI_FSI_FSLSTA
2018,39.96,PT,FI_FSI_FSLS
2019,35.03,PT,FI_FSI_FSLS
2020,33.75,PT,FI_FSI_FSLS
2021,40.73,PT,FI_FSI_FSLS
2022,38.71,PT,FI_FSI_FSLS
2023,38.67,PT,FI_FSI_FSLS
2018,105.98,PT,FI_FSI_FSLDC
2019,103.1,PT,FI_FSI_FSLDC
2020,106.81,PT,FI_FSI_FSLDC
2021,121.63,PT,FI_FSI_FSLDC
2022,121.75,PT,FI_FSI_FSLDC
2023,121.24,PT,FI_FSI_FSLDC
2018,76.4,PT,FI_FSI_FSSTL
2019,75.08,PT,FI_FSI_FSSTL
2020,77.44,PT,FI_FSI_FSSTL
2021,79.97,PT,FI_FSI_FSSTL
2022,80.91,PT,FI_FSI_FSSTL
2023,76.67,PT,FI_FSI_FSSTL
2018,69.01,PT,FI_FSI_FSSFCLN
2019,63.94,PT,FI_FSI_FSSFCLN
2020,62.38,PT,FI_FSI_FSSFCLN
2021,58.74,PT,FI_FSI_FSSFCLN
2022,54.55,PT,FI_FSI_FSSFCLN
2023,53.72,PT,FI_FSI_FSSFCLN
2018,61.61,PT,FI_FSI_FSFCLI
2019,58.95,PT,FI_FSI_FSFCLI
2020,59.1,PT,FI_FSI_FSFCLI
2021,54.46,PT,FI_FSI_FSFCLI
2022,53.72,PT,FI_FSI_FSFCLI
2023,52.9,PT,FI_FSI_FSFCLI
2018,3.06,PT,FI_FSI_FSSNO
2019,9.36,PT,FI_FSI_FSSNO
2020,6.38,PT,FI_FSI_FSSNO
2021,2.38,PT,FI_FSI_FSSNO
2022,-3.11,PT,FI_FSI_FSSNO
2023,-1.54,PT,FI_FSI_FSSNO
