Year,Value,UNIT_MEASURE,SERIES
2009,25.9,PER_100000_POP,SH_TBS_INCID
2010,20.1,PER_100000_POP,SH_TBS_INCID
2011,29.2,PER_100000_POP,SH_TBS_INCID
2012,29.4,PER_100000_POP,SH_TBS_INCID
2013,26.6,PER_100000_POP,SH_TBS_INCID
2014,19.8,PER_100000_POP,SH_TBS_INCID
2015,13.1,PER_100000_POP,SH_TBS_INCID
2016,13.1,PER_100000_POP,SH_TBS_INCID
2017,15.2,PER_100000_POP,SH_TBS_INCID
2018,16.7,PER_100000_POP,SH_TBS_INCID
2019,14.1,PER_100000_POP,SH_TBS_INCID
2020,6.8,PER_100000_POP,SH_TBS_INCID
2021,2.6,PER_100000_POP,SH_TBS_INCID
